"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000183463",-4.63678884369391,0.349132894028501,-29.117317681502,2.97151118434441e-51,6.39252314888848e-47,104.088824744762
"ENSG00000188373",-5.37267907358803,0.274934161452423,-28.9030204405672,5.82648056226449e-51,6.39252314888848e-47,103.465707402212
"ENSG00000152785",-4.4368865567631,0.365579734946371,-28.2974087108395,3.99115101726197e-50,2.91926089239265e-46,101.681359345864
"ENSG00000266949",-6.87511538721292,0.456132743615864,-27.9386664226165,1.26680534986948e-49,6.9493774480465e-46,100.607804205125
"ENSG00000204361",-3.66647215792725,0.308872273261264,-21.0859065531084,5.495308413005e-39,2.41167105013137e-35,77.4609861297208
"ENSG00000203857",-3.03526623700106,0.168192453893204,-20.4763465832104,6.22662497252414e-38,2.27718052953495e-34,75.1336246809075
"ENSG00000119121",-2.589458391155,0.2459637916716,-19.2667413518817,8.79260148589858e-36,2.75622934864389e-32,70.3726680243253
"ENSG00000078399",-4.55136237535734,0.660552814232894,-19.0854867040133,1.87501622658091e-35,5.14293513248311e-32,69.6426626447606
"ENSG00000164093",-3.84033296657099,0.457096241204735,-18.7159504134457,8.8928870927399e-35,2.16818468306657e-31,68.140795882826
"ENSG00000095110",-1.59469547189606,0.137185460773985,-17.2971750839978,4.11136701085038e-32,9.02157263190899e-29,62.2041988634694
"ENSG00000241732",-3.2281857776224,0.742645783679968,-16.8215503913383,3.40548822106849e-31,6.79332982135508e-28,60.1532249443499
"ENSG00000224189",-3.51633984452739,0.533350196189661,-16.061483506726,1.06000746224277e-29,1.93831197866609e-26,56.8125128453345
"ENSG00000124882",-2.48095914655213,0.391838027378928,-15.6942159507013,5.72914040839898e-29,9.02329814546712e-26,55.1706643415037
"ENSG00000142661",-3.50264702504232,0.567489226793806,-15.6931647375689,5.75701472162146e-29,9.02329814546712e-26,55.1659393852247
"ENSG00000240224",-2.41994034307382,0.240178733283581,-14.905535918081,2.27042610193789e-27,3.32133066365488e-24,51.5852962303067
"ENSG00000262745",-2.68534797622277,0.370261360542029,-14.2480301159449,5.16546710311174e-26,7.00609404447728e-23,48.5358648181982
"ENSG00000066405",9.51492052845178,8.59652919572301,14.237687958939,5.42786304316245e-26,7.00609404447728e-23,48.4874741679465
"ENSG00000244649",-3.62763614904241,0.615138444317835,-14.1863526775923,6.94260476129655e-26,8.46342090428502e-23,48.2470868153613
"ENSG00000128645",-1.58832145475603,0.20954690439037,-14.017799181945,1.56101661327983e-25,1.80280987079997e-22,47.4555815890349
"ENSG00000169860",-3.27790730326135,0.812254566992944,-13.8047331320577,4.36711386601677e-25,4.7913789781003e-22,46.4502468473149
"ENSG00000138669",-2.27220241988313,0.600492621903146,-13.6889047085755,7.65577284820158e-25,7.99955350514701e-22,45.9015080548454
"ENSG00000242444",-1.1729957024712,0.129969119577246,-13.5632801540532,1.40965838450259e-24,1.4060060877791e-21,45.3046293561007
"ENSG00000257766",-2.41487007697611,0.287639965792737,-13.3644857139852,3.71660002910645e-24,3.54579801907316e-21,44.3564873043179
"ENSG00000040199",-3.58522801745949,1.78703715027259,-12.8385724405829,4.92517664871242e-23,4.50304796677903e-20,41.8276759675306
"ENSG00000120068",-3.27050561291663,0.55915516488916,-12.7069961147276,9.44115774607611e-23,8.22918668868697e-20,41.1905680613741
"ENSG00000230234",-1.49445366013833,0.142570372975657,-12.7004821865204,9.75066553825188e-23,8.22918668868697e-20,41.1589826659692
"ENSG00000085563",-6.35234407530293,1.43953823080621,-12.6823145642948,1.06687846165222e-22,8.67056077186472e-20,41.0708678650103
"ENSG00000172318",-2.35457699006561,0.156053317482202,-12.6650947631713,1.16190045887872e-22,9.10556491756274e-20,40.9873205652055
"ENSG00000119042",-3.53756347839301,1.16331817190273,-12.5878395593016,1.70432728194078e-22,1.28958805336643e-19,40.6121417862834
"ENSG00000148600",-2.53259319235984,0.176974189873545,-12.5677721764904,1.88282666115223e-22,1.37716218085544e-19,40.5145943627141
"ENSG00000016602",-4.65513492182002,0.558157275657434,-12.5269413838128,2.30607641104562e-22,1.63233015121206e-19,40.3159988804143
"ENSG00000213630",-1.68030892281267,0.094839850151203,-12.2729075824803,8.16939456393069e-22,5.60190702863535e-19,39.0769687705701
