"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000180745",3.93870932015497,3.43997125581808,14.6366365326118,8.09866323798786e-27,1.77708967431168e-22,50.1847523235339
"ENSG00000113722",4.67815178300478,3.88631014498359,14.4347514563438,2.1159750861338e-26,2.32154206575169e-22,49.2549373850036
"ENSG00000079112",5.54199487419869,4.77253176644202,13.9804598041699,1.86873529135914e-25,1.36685528327645e-21,47.14409277408
"ENSG00000163586",7.83110681282886,7.13372338566149,13.128898053277,1.17869258989433e-23,6.4660128750128e-20,43.1214991791491
"ENSG00000144820",3.18612013780604,2.61614591665171,13.0527431426124,1.71377257476843e-23,7.52106232162874e-20,42.7578041955244
"ENSG00000166143",3.45330569201495,3.58918333956073,12.9567107840611,2.74971739312669e-23,1.00561747928965e-19,42.2983004227802
"ENSG00000173702",3.79031183458987,5.33989240923602,12.8802722153626,4.00872084519887e-23,1.25661945008855e-19,41.9318594469304
"ENSG00000134193",6.03167881095053,8.08147866359548,12.6121584278126,1.51060959040978e-22,4.14341328029522e-19,40.6418286511867
"ENSG00000086696",3.12946977629948,6.02838145718379,12.5423943104668,2.13568608432694e-22,5.2070399720429e-19,40.304988798913
"ENSG00000168955",4.80495644550767,3.7181273883783,12.4246847042584,3.83442559045691e-22,8.4138800731396e-19,39.735596255481
"ENSG00000222636",4.59209626192249,3.80603969212173,12.2564253546439,8.86978113137023e-22,1.76936006696052e-18,38.9194367506121
"ENSG00000169994",3.84767208600999,3.28490904673863,11.9613919179524,3.88121579181761e-21,7.09712650998781e-18,37.48228944534
"ENSG00000156006",2.78397318683736,2.14954056329831,11.9361699613375,4.40460756875144e-21,7.12920886435361e-18,37.3590887511489
"ENSG00000143167",4.23180483091211,3.75697730065889,11.9297598080916,4.54855416765942e-21,7.12920886435361e-18,37.3277690587925
"ENSG00000248771",3.11203068583154,2.97790746274893,11.6670902506212,1.70325393333299e-20,2.49163340394171e-17,36.0415931181705
"ENSG00000138079",3.1211511195424,2.87124470047539,11.5244404492313,3.49579893678724e-20,4.60365288892283e-17,35.3409376796374
"ENSG00000267596",3.11343685897634,2.63250006429112,11.5204657349785,3.56660890086534e-20,4.60365288892283e-17,35.3213944108648
"ENSG00000260027",3.04667168297292,2.93172168450209,11.4981395812393,3.99192749566836e-20,4.86638139096949e-17,35.2115987322881
"ENSG00000129007",2.40264665409111,5.87236786761959,11.4187217539715,5.96119937628527e-20,6.8845577849383e-17,34.8207634426095
"ENSG00000151715",1.89666264829039,6.37465500039786,11.3328094205165,9.20262577167982e-20,1.00966608653985e-16,34.3975000940825
"ENSG00000089472",3.54463358448979,3.6666280910684,11.3179286683335,9.92188292795564e-20,1.03674227184824e-16,34.3241394421818
"ENSG00000070019",2.93063737191948,2.41734189769361,11.2112653665326,1.70221631249993e-19,1.69780602478118e-16,33.7979017488856
"ENSG00000180061",2.72670715236707,2.62903587703561,11.1806704580422,1.98748900065752e-19,1.89615091919252e-16,33.6468324195093
"ENSG00000169876",4.21929364200945,3.46437529881135,10.9978704671598,5.02091482366944e-19,4.5905805823241e-16,32.7431265248009
"ENSG00000010438",2.53111836166854,6.04788694780059,10.944318170822,6.58904237678477e-19,5.78333427495153e-16,32.4780479876539
"ENSG00000169894",3.27853086571589,4.16418096392537,10.8592237217847,1.01507729428408e-18,8.5668619494137e-16,32.0565526605908
"ENSG00000165215",3.25843130578974,4.40611486399424,10.8442665650951,1.09521895618892e-18,8.90088502061239e-16,31.9824310819137
"ENSG00000167117",3.01258193889368,3.6971642000737,10.8183391642846,1.24944492519132e-18,9.79163214052611e-16,31.8539216504083
"ENSG00000088386",2.50979900724461,2.80709153673016,10.7369323639739,1.88989695397821e-18,1.43000030555669e-15,31.4502390401098
"ENSG00000105251",1.99039630757034,1.57752966574288,10.7275914834421,1.98183175373743e-18,1.44957780574201e-15,31.4039015232145
"ENSG00000119547",1.79652317346803,1.24738849671508,10.7084366168829,2.18460630316878e-18,1.54634890678815e-15,31.3088685794126
"ENSG00000204610",2.30769999796202,2.86016302844544,10.6891017865048,2.41036478679189e-18,1.62174163172138e-15,31.2129280777112
"ENSG00000144063",3.6248871400233,5.19076181325974,10.6867855462772,2.43893149737071e-18,1.62174163172138e-15,31.201433788393
"ENSG00000135702",3.03594543629451,3.05528555640694,10.6631474737109,2.75057349592861e-18,1.77517159474004e-15,31.0841186365095
"ENSG00000260092",3.02781927086505,2.91443369154782,10.5972683978967,3.84602702510168e-18,2.41123917176589e-15,30.7570532604017
"ENSG00000101342",2.19519366819166,1.96017416788996,10.4362628526984,8.73093011358421e-18,5.32174443006606e-15,29.9571090250551
"ENSG00000253293",2.55574429142225,1.81202518376552,10.3849908731238,1.13371632532242e-17,6.72355062879728e-15,29.7022081125463
"ENSG00000113303",2.87866970070836,3.81930477833427,10.3638394720983,1.26273218660807e-17,7.24786602691346e-15,29.5970331711369
"ENSG00000165828",5.23758090753239,4.58760356734282,10.3599229435169,1.288186551746e-17,7.24786602691346e-15,29.5775570940263
"ENSG00000100744",1.72751166900493,6.22914459937012,10.2477333090902,2.28200047211422e-17,1.23540461032284e-14,29.0195144527974
"ENSG00000119125",2.39883547190895,3.99951551985196,10.245483363383,2.30832561742863e-17,1.23540461032284e-14,29.008320325777
"ENSG00000137364",1.34534570813797,4.91031743901515,10.2357720737193,2.42548222919502e-17,1.26719896560063e-14,28.9600027767165
"ENSG00000272763",1.95509870847922,1.49853763161556,10.1810073462508,3.20671059965847e-17,1.63639187647223e-14,28.6874951192063
"ENSG00000206075",3.02221688739774,4.52974818069298,10.1737195320588,3.32811247444604e-17,1.65974481879022e-14,28.6512274325463
"ENSG00000135697",1.79677804878172,2.51109140722426,10.1661408684114,3.45923916846614e-17,1.68680189052561e-14,28.6135114702702
"ENSG00000118322",2.81520164549645,3.34369232816041,10.1142607170932,4.50686393325102e-17,2.14987207146363e-14,28.3553027293976
"ENSG00000224167",1.12353773409075,1.22709221506732,10.091850045073,5.05252935423459e-17,2.3588862046802e-14,28.2437534873664
"ENSG00000171747",2.2687242510524,9.1449041711025,9.99040513226545,8.47629170193622e-17,3.87490143365805e-14,27.7387478303732
"ENSG00000150656",1.99880440146952,1.39103112088634,9.96997467407662,9.40722291843534e-17,4.2127080101883e-14,27.6370329629815
"ENSG00000168903",2.6860570243011,2.51923416258294,9.91164013398996,1.26671977136542e-16,5.5591263886143e-14,27.3465989022622
"ENSG00000169903",4.47263760065888,4.7508772631714,9.89894193401981,1.35147793224805e-16,5.75980915025217e-14,27.2833762207925
"ENSG00000099834",2.9296598180968,4.30553513073168,9.89699783096177,1.36494588621935e-16,5.75980915025217e-14,27.2736967622061
"ENSG00000159184",2.0008429538731,1.24524077361649,9.79600998983971,2.2846137766361e-16,9.4587320944766e-14,26.7708925563297
"ENSG00000104537",3.58339311083279,3.18511674006536,9.76785771969387,2.6373570666783e-16,1.07169492803929e-13,26.6307314560629
"ENSG00000182938",2.54913901829238,1.86780592847311,9.74064744307936,3.02995494108682e-16,1.19750698648654e-13,26.4952644836096
"ENSG00000243989",1.5429742087107,6.34678115909268,9.73896156634405,3.05611772516275e-16,1.19750698648654e-13,26.4868714712871
"ENSG00000182327",1.51167418323183,1.51244001170218,9.72759923607079,3.23843568745782e-16,1.24668411034889e-13,26.4303055031603
"ENSG00000112818",3.7979381382707,3.22263347620743,9.69943173369579,3.7386779313827e-16,1.41444499738501e-13,26.2900816076851
"ENSG00000166268",2.30545629345979,2.06602048859763,9.60301223353997,6.11261557436464e-16,2.20669598724345e-13,25.8101490832021
"ENSG00000172955",1.99416450682001,1.87318521030889,9.60291105927885,6.11576924719399e-16,2.20669598724345e-13,25.809645547611
"ENSG00000175311",1.93546268309602,2.71054023685092,9.60231250257203,6.13445997456366e-16,2.20669598724345e-13,25.806666585522
"ENSG00000171119",-1.04314985566254,1.40257395676322,-9.59902720958427,6.23806880017365e-16,2.20777328519694e-13,25.7903160781438
"ENSG00000178828",2.91262051996178,2.7674353310154,9.58494759149839,6.70227651734612e-16,2.31484318486076e-13,25.7202453954461
"ENSG00000177133",-2.00955482487282,3.91636622572604,-9.581026143759,6.8376070685851e-16,2.31484318486076e-13,25.7007299035147
"ENSG00000150782",1.17251041997861,5.46212696154525,9.58046840226386,6.85707546898552e-16,2.31484318486076e-13,25.6979542652132
