"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000188373",-5.35742087730034,0.274934161452423,-29.2709398141123,1.8381718076157e-51,4.03350039745114e-47,103.706290893676
"ENSG00000183463",-4.43931198003902,0.349132894028501,-28.31250417395,3.80276220529405e-50,3.23886720271156e-46,100.955249217851
"ENSG00000152785",-4.36367091521092,0.365579734946371,-28.2649944391475,4.42810992486655e-50,3.23886720271156e-46,100.81658023197
"ENSG00000266949",-6.67871499393244,0.456132743615864,-27.5643123376989,4.28030112922805e-49,2.34806619196628e-45,98.745630105314
"ENSG00000203857",-3.02547368878042,0.168192453893204,-20.7289656455903,2.26465259044299e-38,9.93865435841812e-35,75.7236800133399
"ENSG00000204361",-3.47280599768366,0.308872273261264,-20.2839709322031,1.35203654201129e-37,4.94462297355896e-34,74.0289057720324
"ENSG00000119121",-2.49371114422425,0.2459637916716,-18.8440412808208,5.17452845973462e-35,1.62206682845652e-31,68.3651560832147
"ENSG00000164093",-3.4218769594419,0.457096241204735,-16.9369796443122,2.03328079311785e-31,5.57703505542313e-28,60.4315553181381
"ENSG00000078399",-3.92224393703715,0.660552814232894,-16.7041736225246,5.76358510705632e-31,1.40522608893485e-27,59.4289559334116
"ENSG00000095110",-1.49294966912236,0.137185460773985,-16.4464117047918,1.84149637149771e-30,4.04079548797743e-27,58.3102492647563
"ENSG00000224189",-3.38897707934828,0.533350196189661,-15.7214289175831,5.05292943044346e-29,1.00796754992928e-25,55.11544914841
"ENSG00000241732",-2.83185617093289,0.742645783679968,-14.9867431272648,1.54899090117854e-27,2.83245894538005e-24,51.806279843726
"ENSG00000240224",-2.28409289362881,0.240178733283581,-14.2884549145581,4.25644819757843e-26,7.18455713842028e-23,48.5962927561508
"ENSG00000128645",-1.57385654118726,0.20954690439037,-14.1070155697253,1.01619971975106e-25,1.59274788932124e-22,47.7522443446429
"ENSG00000124882",-2.17438955292119,0.391838027378928,-13.9696631661691,1.96858674530302e-25,2.87977993014561e-22,47.1106231644073
